group_id,group_name,post_id,comment_text
-50536362,hodimvmore,542511,О ё йой
-50536362,hodimvmore,542511,Занесло на повороте?
-50536362,hodimvmore,542511,Смещение ёпта 😢
-50536362,hodimvmore,542511,это пи...да.
-50536362,hodimvmore,542505,Нет. Они красавчики. Заблаговременно за 3 дня)
-50536362,hodimvmore,542496,"Где люди?)
 Кок, всех съел 🤣"
-50536362,hodimvmore,542496,"[id771105283|Серхиннио], в пирожках и салатах...."
-50536362,hodimvmore,542496,Чо за блюда там?
-50536362,hodimvmore,542489,Хороший размер!
-50536362,hodimvmore,542489,"[id746798537|Сергей], super longstroke"
-50536362,hodimvmore,542480,"Админ по кругу фотки гоняет , которым 100 лет в обед
Держи..."
-50536362,hodimvmore,542474,Главное чтобы всё работало!
-50536362,hodimvmore,542474,Амур
-50536362,hodimvmore,542460,"Сегодня, будет барбекю)😄
 Кабанчика доставили))"
-50536362,hodimvmore,542453,На двух языках большими буквами!)
-50536362,hodimvmore,542445,"Папа , звонит в Мко"
-50536362,hodimvmore,542445,папа звонит маме
-50536362,hodimvmore,542445,"[id204584158|Виктор], мама говорит возвращайся скорее"
-50536362,hodimvmore,542445,Когда механик поднялся на мостик
-50536362,hodimvmore,542445,*когда повар выходит с камбуза
-50536362,hodimvmore,542445,А где у штурмана есть власть?
-50536362,hodimvmore,542445,"Ни фига.Сидели поддовали  на рейде,Мастер с дедом поспорили,что капитан не сможет завести главный.Завел,дед ящик коньяка проспорил.😂😂😂"
-50536362,hodimvmore,542445,И когда да в рефку)
-50536362,hodimvmore,542436,"Какое, у Вас последнее обновление?)🤣
 PSC придет и ограничит, Ай Клауд😊"
-50536362,hodimvmore,542425,Че это
-50536362,hodimvmore,542425,"[id467970748|Сёма], самогонный аппарат)))"
-50536362,hodimvmore,542418,"Ха, не везде фамилию Андрея закрыли)"
-50536362,hodimvmore,542418,Одна история офигительней другой..
-50536362,hodimvmore,542418,С@ука и тут Щукин отличился)))))интересно есть такие кто его не знает и не слышал о таком.....
-50536362,hodimvmore,542418,Рапорт нашего третьего помощника)))
-50536362,hodimvmore,542418,"Да, истории конечно супер."
-50536362,hodimvmore,542415,Качество Шик!!
-50536362,hodimvmore,542415,HFO колбаски)😊😄
-50536362,hodimvmore,542408,Безумно тяжёлый труд! Здоровья мужикам!Берегите спины и поясницы.
-50536362,hodimvmore,542408,Лет через 30 всёравно скажется!
-50536362,hodimvmore,542408,"[id98597067|Андрей], любой труд сказывается на здоровье человека. Но тут знаю просто,5 лет был трюмным,очень тяжко. В трюма уклыдываешь, рыб.продукцию,и при выгрузке также это выгружаешь ,и так весь рейс."
-50536362,hodimvmore,542408,"[id102362676|Роман],  я в курсе, я рыбмастер"
-50536362,hodimvmore,542408,"[id98597067|Андрей], я тоже знаю. Работал в трюме,по этому и написал свой коммент."
-50536362,hodimvmore,542408,Что за рифер?
-50536362,hodimvmore,542408,"Помню с удовольствием шли в трюм на погрузку, на рифере. От машины отдохнуть. Да и деньги неплохие платили"
-50536362,hodimvmore,542408,Да помню этот тихий ужас 4 человека в трюме 200 тонн за 8 часов.
-50536362,hodimvmore,542408,"[id67041858|Василий], в цифрах нет ошибочки?)) 200 тонн выгрузить за 8 часов,на 4 человека???"
-50536362,hodimvmore,542408,"[id102362676|Роман], ошибки нет у литовцев в трюме тележки под строп на рельсах . Строп в трюм на телегу опустили толкнули в нужное направление и раскидали. 4 человека в трюме потому что как правило подходило два рифера с двух бортов всего 8 точек."
-50536362,hodimvmore,542408,"[id67041858|Василий], тогда получается людей больше. В каждом трюме 4 человека."
-50536362,hodimvmore,542408,"Харе душнить, если есть сомнения , ради бога."
-50536362,hodimvmore,542408,"[id102362676|Роман], нет, за 4 часа 100 тонн смело уходит, раньше работал на рыбаках так и было, и в Новой Зеландии у стенки выгружались и на Севере и в Африке."
-50536362,hodimvmore,542408,"[id67041858|Василий], никогда не выгружал с транспортëрами когда на рыбаках работал, всегда эти подвахты  в трюме меня вы.... ли, тогда ещё мотористом был, поэтому никуда не денешься. А потом перешёл на торговый флот и вздохнул с облегчением."
-50536362,hodimvmore,542408,"[id32707760|Вячеслав], так достали рыбаки с выгрузками что 15 лет назад поднялся на мостик и до сей поры не спускаюсь👍"
-50536362,hodimvmore,542408,"[id67041858|Василий], Я с вами абсолютно, согласен но хондрозы шеи и спины заработал, в этих трюмах и рыбцеху, но правда деньги отличные платили."
-50536362,hodimvmore,542408,"[id102362676|Роман], у нас было так мы за 6 часов в 4 кинули 94 тонны , капитан был в восторге 😃"
-50536362,hodimvmore,542408,Перегруз! Обмен денег на алкоголь!!!
-50536362,hodimvmore,542408,"Заработал на квартиру двухкомнатную в Мурманске на перегрузах на ТРе за один год. В девяностых. Потом продолжил, добавил, и заработал на квартиру в Санкт-Петербурге. Тоже в девяностых-двухтысячных. Интересно как сейчас? Можно ли за год заработать на квартиру?"
-50536362,hodimvmore,542408,"[id66073885|Stem11], на первоначальный взнос можно заработать!"
-50536362,hodimvmore,542408,"Брали 100 тонн за 4 часа впятером. Все вручную, без тележек разных. По углам в том числе."
-50536362,hodimvmore,542408,"Я туда ходил, чтобы размяться. В 80-х, на промысле в ЮВА, Антарктиде. Радиослужбу тогда задействовали только на перегрузке гофротары и сдаче рыбопродукции. И у нас в морозилке работала тётя. Ей тогда было 60 лет. Шварцнегер по сравнению с ней был мальчиком. Она могла взять пак 30 кг. одной рукой. Да было время. Спасибо, братцы, что напомнили."
-50536362,hodimvmore,542408,Сникерсы!
-50536362,hodimvmore,542408,"[id300596053|Владимир], очень не удобная тара, и как правило всегда перевес большой."
-50536362,hodimvmore,542408,Перегрузи
-50536362,hodimvmore,542379,"в Азовском море ещё нужно постараться, чтоб полностью параход утопить"
-50536362,hodimvmore,542379,Он всплывает ))
-50536362,hodimvmore,542379,Вода похоже теплая. Вот и не суетятся.
-50536362,hodimvmore,542373,В моменте)😄
-50536362,hodimvmore,542373,Тот кто за штурвалом)
-50536362,hodimvmore,542373,"[id35326501|Александр], сразу видно, 3й Пом)"
-50536362,hodimvmore,542373,"Только идиоты сейчас сбрасывают шлюпки. Я этого никогда не делал с 2007 г., когда начал работать капитаном на судах с такими шлюпками."
-50536362,hodimvmore,542373,"[id680323184|Мифодий], значит грамотный капитан."
-50536362,hodimvmore,542373,Да ничего там страшного и необычного не увидите ))
-50536362,hodimvmore,542373,"Я вот помню, как-то прыгали и носовой люк оставили открытым по запарке. Вот там лица у первого ряда были даааа..."
